UDID,Serial Number
00008030-000145291E22202E,L30X79C2FT
00008030-001538691E22202E,V3WJXTX90H
00008030-001864E63A44202E,RYW7F4T42L
00008030-000C60893EC0202E,L454G9VJYR
00008030-001555663A44202E,PWPVYCYYCY
00008030-000205AA22C2202E,QDLQWC0951
00008030-000474612250202E,TX16NQVX5J
00008030-001935D00EC0202E,H3YW6QCQF9
00008030-000625621E42202E,Q9V0N9F0G2
00008030-000661C60E42202E,LC12C199PD
00008030-00096DEA0242202E,WXG9JF3XXR
00008030-00110D960182202E,RTWP2D46KK
00008030-001858922E22202E,X0MPFQHN43
00008030-000A74E60C33C02E,V9DWPRYL2K
00008030-000D71A63EA0202E,CQY2J6FCJF
00008030-001628AA22C2202E,JLQ2XJR2NV
00008030-000604AA22C2202E,LDLH66GJJ9
00008030-0015041114C2202E,VKV6924G14
00008030-000D19601AC2202E,RXW2L72QM3
00008030-000D08663EA0202E,FL46PPQLCW
00008030-001858DC1AD0202E,T03175W6CC
00008030-000274120A20202E,LJ9GY2L4WT
00008030-000A75E22644202E,NJHLFG43N6
00008030-001C35822682202E,F3YHM2HTC2
00008030-001C69621A82202E,CM7LQ16C7Y
00008030-001169A01AC2202E,LLXD4HKW6C
00008030-0002610C01D0202E,VFMH6MPGQL
00008030-001E049402C2202E,P7X4G6W4YG
00008030-000250E11482202E,VRF0RWTNWG
00008030-0001345122D0202E,QK0JG6KW9P
00008030-000A68960182202E,HY2TG7P96W
00008030-000D056A22C2202E,YXG7MHGW2R
00008030-0011591E1A82202E,HQPWR772F4
00008030-001551AA22C2202E,DYQWJGQ6HX
00008030-000455AA22C2202E,PY237JY2LK
00008030-00094CE20A20202E,K3GT40W1CX
00008030-001C1D0A3AA2202E,H409TNH2XP
00008030-0008649402C2202E,HGC0M92QGM
00008030-000141922E22202E,PJ27F2HR9H
00008030-001028910CC0202E,HDWFVQKV22
00008030-001151A11EA2202E,LP6JTQ77QW
00008030-000630893EC0202E,H3YWV3F7F9
